OBJECTID,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),CreationDate,Creator,EditDate,Editor,Date and Time,"WTD, Female","WTD, Male, Mature","WTD, Male, Middle","WTD, Male, Young","WTD, Fawn","WTD, Unknown",WTD Notes,Transect OID,WTD moving into next transect?,Direction,WTD_Distance,"WTD, Male, Unkown",Date Filter,x,y
130,137d2f7d-cf39-493c-b5f7-08149d260b09,47.54084,4.14,344.5500984,2,Cedar CT8X2,3.041381265,3.8,27.6598595,-98.20141333,67.5,1.080000043,0.649999976,0.879999995,2,,0,23,2/9/2024 22:18,,,,,2/9/2024 22:18,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:18,abigail.dwelle@tamu.edu_tamu,,0,0,1,0,0,0,,,No,2,10,0,,-98.20141333,27.6598595
131,6e94e2e8-f75c-4a0a-bb2d-eabea83da693,54.582144,351.29,325.8474012,2,Cedar CT8X2,2.26715681,3.2,27.66430833,-98.20186383,76.6,1.090000033,0.620000005,0.889999986,1,,,22,2/9/2024 22:18,,,,,2/9/2024 22:19,davepearce@tamu.edu_tamu,2/9/2024 22:19,davepearce@tamu.edu_tamu,,2,0,0,0,0,0,,,No,8,60,0,,-98.20186383,27.66430833
132,1e7360aa-aca0-472b-8edc-c4fed971154e,55.17108,276.37,266.1603247,2,Cedar CT8X2,2.549509757,3.5,27.6903185,-98.20247417,80.2,1.070000052,0.620000005,0.870000005,2,,0,23,2/9/2024 22:22,,,,,2/9/2024 22:22,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:22,abigail.dwelle@tamu.edu_tamu,,1,0,0,0,1,0,,,No,4,60,0,,-98.20247417,27.6903185
133,d5797946-c056-4e77-9285-712d568c52dd,43.034924,187,168.0878272,2,Cedar CT8X2,2.051828453,2.7,27.682567,-98.204918,69.5,1.110000014,0.649999976,0.899999976,2,,0,22,2/9/2024 22:23,,,,,2/9/2024 22:23,davepearce@tamu.edu_tamu,2/9/2024 22:23,davepearce@tamu.edu_tamu,,2,0,0,0,1,0,,,No,10,0,0,,-98.204918,27.682567
134,eea68eba-793b-463f-88a8-f616977f2e33,53.630216,0.53,329.766878,2,Cedar CT8X2,2.9,3.5,27.66709417,-98.20703817,73.6,1.039999962,0.620000005,0.839999974,2,,0,23,2/9/2024 22:31,,,,,2/9/2024 22:31,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:31,abigail.dwelle@tamu.edu_tamu,,2,0,0,0,0,0,,,No,2,10,0,,-98.20703817,27.66709417
135,5a9b8415-e96f-4a38-b9ea-d90d315c1037,53.148696,358.79,336.6020498,2,Cedar CT8X2,2.687005769,3.2,27.67036117,-98.2072405,73.5,1.039999962,0.620000005,0.839999974,1,,,23,2/9/2024 22:31,,,,,2/9/2024 22:32,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:32,abigail.dwelle@tamu.edu_tamu,,1,0,0,0,0,0,,,No,1,20,0,,-98.2072405,27.67036117
136,9d09e397-c95b-41a9-b622-37a6878b4fce,55.195156,176.31,158.2559612,2,Cedar CT8X2,1.702938637,1.8,27.678316,-98.20967517,74.6,1.070000052,0.629999995,0.870000005,2,,0,23,2/9/2024 22:35,,,,,2/9/2024 22:36,davepearce@tamu.edu_tamu,2/9/2024 22:36,davepearce@tamu.edu_tamu,,0,0,0,2,0,0,,,No,9,20,0,,-98.20967517,27.678316
137,50c4e032-63e3-4661-a2bc-558132520ebf,46.450012,175.32,152.2330457,2,Cedar CT8X2,3.753664876,6.1,27.67043083,-98.2100755,78.1,1.120000005,0.649999976,0.920000017,2,,0,21,2/9/2024 22:36,,,,,2/9/2024 22:37,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:37,abigail.dwelle@tamu.edu_tamu,,1,0,0,0,0,0,,,No,2,80,0,,-98.2100755,27.67043083
138,efcce263-f33d-4a2d-b973-3dd4ac6fc43c,51.630056,178.56,148.5723239,2,Cedar CT8X2,1.530522787,2.1,27.66549933,-98.20961083,72,1.070000052,0.629999995,0.860000014,2,,0,23,2/9/2024 22:37,,,,,2/9/2024 22:37,davepearce@tamu.edu_tamu,2/9/2024 22:37,davepearce@tamu.edu_tamu,,3,0,0,0,1,0,,,No,12,15,0,,-98.20961083,27.66549933
139,529a7b2f-cd5e-42a7-b567-bdb0e7a2a163,55.515552,177.15,162.0638463,2,Cedar CT8X2,3.111269837,4.4,27.65653217,-98.20950117,83.2,1.070000052,0.639999986,0.860000014,1,,,22,2/9/2024 22:38,,,,,2/9/2024 22:39,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:39,abigail.dwelle@tamu.edu_tamu,,3,0,0,0,0,0,,,No,1,10,0,,-98.20950117,27.65653217
140,b466fb1f-12d4-47db-b2d9-8a66a311f7b4,51.305956,182.41,148.9725866,2,Cedar CT8X2,3.255764119,4.5,27.65170283,-98.209626,80.7,1.080000043,0.649999976,0.860000014,1,,,21,2/9/2024 22:39,,,,,2/9/2024 22:39,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:39,abigail.dwelle@tamu.edu_tamu,,0,0,0,1,0,0,,,No,1,10,0,,-98.209626,27.65170283
141,e47232d0-43d9-4d26-a8c1-27e974ed550d,49.027996,178.29,150.9496122,2,Cedar CT8X2,3.182766093,4.3,27.64721533,-98.20956267,75.1,1.070000052,0.639999986,0.860000014,1,,,22,2/9/2024 22:39,,,,,2/9/2024 22:40,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:40,abigail.dwelle@tamu.edu_tamu,,2,0,0,0,0,0,,,No,12,0,0,,-98.20956267,27.64721533
142,9cf9a733-3b02-4ca6-a113-4faa69bfb2e8,44.635052,5.86,353.9037748,2,Cedar CT8X2,1.301076477,1.9,27.67104033,-98.21209717,74.7,0.839999974,0.519999981,0.660000026,2,,0,25,2/9/2024 22:43,,,,,2/9/2024 22:43,davepearce@tamu.edu_tamu,2/9/2024 22:43,davepearce@tamu.edu_tamu,,4,0,0,0,0,0,,,No,12,15,0,,-98.21209717,27.67104033
143,330b09e4-3945-4105-84b1-26cebb659d50,44.085008,2.74,336.4299632,2,Cedar CT8X2,3.330165161,4.2,27.6750045,-98.21180717,73.5,0.930000007,0.569999993,0.730000019,1,,,22,2/9/2024 22:44,,,,,2/9/2024 22:44,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:44,abigail.dwelle@tamu.edu_tamu,,2,0,0,0,0,0,,,No,2,80,0,,-98.21180717,27.6750045
144,cf29e4d7-dd29-4819-8815-b0f1be60fc1c,46.644472,176.39,158.8355984,2,Cedar CT8X2,0.961769203,1.4,27.68582633,-98.21490583,77.9,1.049999952,0.550000012,0.839999974,2,,0,25,2/9/2024 22:46,,,,,2/9/2024 22:46,davepearce@tamu.edu_tamu,2/9/2024 22:46,davepearce@tamu.edu_tamu,,4,0,0,0,0,0,,,No,12,80,0,,-98.21490583,27.68582633
145,bf517a2f-db41-4a75-a085-4a49ee77c787,44.31836,184.03,172.2753206,2,Cedar CT8X2,3.182766093,4.3,27.6814965,-98.21491067,75.1,0.959999979,0.600000024,0.75999999,1,,,22,2/9/2024 22:47,,,,,2/9/2024 22:47,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:47,abigail.dwelle@tamu.edu_tamu,,3,0,0,0,0,0,,,No,2,40,0,,-98.21491067,27.6814965
146,15ba4776-8d04-444c-8231-defc0b3f4b8c,47.826048,173.3,156.6257316,2,Cedar CT8X2,1.293213053,1.6,27.665247,-98.214845,75.4,0.850000024,0.529999971,0.670000017,2,,0,25,2/9/2024 22:49,,,,,2/9/2024 22:49,davepearce@tamu.edu_tamu,2/9/2024 22:49,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,12,15,0,,-98.214845,27.665247
147,121c3295-546c-4ab5-abe4-3bbf5dffd589,44.044264,177.78,135.901517,2,Cedar CT8X2,3.46554469,4.8,27.65831283,-98.2147525,74.3,0.889999986,0.540000021,0.709999979,1,,,23,2/9/2024 22:50,,,,,2/9/2024 22:50,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:50,abigail.dwelle@tamu.edu_tamu,,4,0,0,0,0,0,,,No,2,40,0,,-98.2147525,27.65831283
148,9c26b4b3-570b-4799-9a60-01604b16656d,48.020508,179.44,163.2254156,2,Cedar CT8X2,1.140175425,1.5,27.654645,-98.214653,80.3,0.839999974,0.519999981,0.660000026,2,,0,25,2/9/2024 22:50,,,,,2/9/2024 22:51,davepearce@tamu.edu_tamu,2/9/2024 22:51,davepearce@tamu.edu_tamu,,0,0,1,0,0,0,,,No,2,10,0,,-98.214653,27.654645
149,907a3248-6976-42f7-8543-c4cf3feea4ef,49.574336,21.36,358.2904281,2,Cedar CT8X2,1.838477631,2.3,27.647714,-98.21747267,77,0.980000019,0.550000012,0.769999981,2,,0,23,2/9/2024 22:52,,,,,2/9/2024 22:53,davepearce@tamu.edu_tamu,2/9/2024 22:53,davepearce@tamu.edu_tamu,,2,0,0,0,0,0,,,No,10,80,0,,-98.21747267,27.647714
150,e500bb2e-9f69-4989-b7fc-bd18b23fa1b7,46.335188,9.97,351.425646,2,Cedar CT8X2,2.549509757,3.1,27.6500565,-98.21697217,80.8,0.889999986,0.540000021,0.709999979,2,,0,23,2/9/2024 22:53,,,,,2/9/2024 22:53,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:53,abigail.dwelle@tamu.edu_tamu,,3,0,0,1,0,0,,,No,3,50,0,,-98.21697217,27.6500565
151,07871323-d1bd-4653-8d54-7d7f7624e879,56.213756,4.23,355.5570695,2,Cedar CT8X2,2.758622845,3.5,27.665426,-98.1969885,66,1.059999943,0.680000007,0.810000002,2,,0,18,2/10/2024 13:57,,,,,2/10/2024 13:57,davepearce@tamu.edu_tamu,2/10/2024 13:57,davepearce@tamu.edu_tamu,,0,0,0,0,1,0,,,No,2,30,0,,-98.1969885,27.665426
152,26623b38-d17d-4bd4-9475-cd221bd567dc,54.92106,355.89,350.5394273,2,Cedar CT8X2,3.182766093,4,27.66780917,-98.196909,61.7,1.00999999,0.649999976,0.790000021,1,,,19,2/10/2024 13:57,,,,,2/10/2024 13:57,davepearce@tamu.edu_tamu,2/10/2024 13:57,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,6,0,0,,-98.196909,27.66780917
153,267192c1-3cee-42d0-9019-00847037fb80,57.47682,357.5,340.638012,2,Cedar CT8X2,2.549509757,2.9,27.67024,-98.19704133,63.5,0.970000029,0.579999983,0.769999981,2,,0,21,2/10/2024 13:57,,,,,2/10/2024 13:58,davepearce@tamu.edu_tamu,2/10/2024 13:58,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,10,60,0,,-98.19704133,27.67024
154,76a5ed1e-de30-4869-a7fd-e9aa2f9641cf,56.295244,348.92,324.5003172,2,Cedar CT8X2,1.562049935,2.3,27.68982417,-98.19701533,74.7,0.939999998,0.579999983,0.74000001,2,,0,22,2/10/2024 14:00,,,,,2/10/2024 14:00,davepearce@tamu.edu_tamu,2/10/2024 14:00,davepearce@tamu.edu_tamu,,0,0,0,0,2,0,,,No,2,15,0,,-98.19701533,27.68982417
155,97771d3d-c0bb-418b-9948-4d4640a2bc84,46.481496,176.34,159.2313122,2,Cedar CT8X2,2.19317122,2.1,27.6869455,-98.19950083,65.4,1.049999952,0.680000007,0.800000012,2,,0,21,2/10/2024 14:01,,,,,2/10/2024 14:01,davepearce@tamu.edu_tamu,2/10/2024 14:01,davepearce@tamu.edu_tamu,,0,0,0,1,0,0,,,No,11,50,0,,-98.19950083,27.6869455
156,bfc2c438-f15b-45da-b7a7-b2836a79294c,45.057308,180.45,131.0905776,2,Cedar CT8X2,2.9,2.9,27.68499217,-98.19947983,68.6,1.110000014,0.629999995,0.870000005,1,,,18,2/10/2024 14:01,,,,,2/10/2024 14:01,davepearce@tamu.edu_tamu,2/10/2024 14:01,davepearce@tamu.edu_tamu,,0,0,0,0,0,1,,,No,9,60,0,,-98.19947983,27.68499217
157,e2859a38-84d1-4ab9-86a3-984681a2596e,44.961004,183.55,166.189062,2,Cedar CT8X2,1.720465053,1.7,27.67164817,-98.19950717,64.7,0.949999988,0.589999974,0.74000001,2,,0,22,2/10/2024 14:03,,,,,2/10/2024 14:03,davepearce@tamu.edu_tamu,2/10/2024 14:03,davepearce@tamu.edu_tamu,,0,0,0,1,0,0,,,No,2,30,0,,-98.19950717,27.67164817
158,f9510f30-413f-4104-a616-7c95fd9c0e38,0,0,118.5342311,2,Cedar CT8X2,2.687005769,2.6,27.6667425,-98.19939867,67.1,1.080000043,99.98999786,0.870000005,0,,,7,2/10/2024 14:04,,,,,2/10/2024 14:05,davepearce@tamu.edu_tamu,2/10/2024 14:05,davepearce@tamu.edu_tamu,,0,0,0,1,0,0,,,No,10,9,0,,-98.19939867,27.6667425
159,c137ac86-18f1-4157-a8f4-1d12b32f4bcc,49.626192,181.15,156.7888775,2,Cedar CT8X2,1.920937271,1.9,27.64920783,-98.199522,71.8,0.949999988,0.589999974,0.74000001,2,,0,22,2/10/2024 14:05,,,,,2/10/2024 14:06,davepearce@tamu.edu_tamu,2/10/2024 14:06,davepearce@tamu.edu_tamu,,1,0,0,0,1,0,,,No,12,10,0,,-98.199522,27.64920783
160,8d2d696d-67ea-4a03-86d0-fe61d26672b3,45.511048,174.55,150.5418909,2,Cedar CT8X2,1.860107524,1.8,27.64656983,-98.19941983,70.2,1.00999999,0.639999986,0.790000021,2,,0,21,2/10/2024 14:06,,,,,2/10/2024 14:06,davepearce@tamu.edu_tamu,2/10/2024 14:06,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,9,10,0,,-98.19941983,27.64656983
161,cb6232f1-0dc8-4f74-a41d-7f3c01829e70,51.591164,356.63,345.1890763,2,Cedar CT8X2,2.061552813,3,27.66162383,-98.20212017,72.3,0.949999988,0.629999995,0.720000029,2,,0,22,2/10/2024 14:08,,,,,2/10/2024 14:09,davepearce@tamu.edu_tamu,2/10/2024 14:09,davepearce@tamu.edu_tamu,,4,0,0,0,2,0,,,No,12,60,0,,-98.20212017,27.66162383
162,fa902c69-2443-4ab4-a553-4be24417b9e4,47.409348,358.32,341.610899,2,Cedar CT8X2,1.702938637,2.5,27.67074483,-98.20207,67.6,0.910000026,0.569999993,0.699999988,2,,0,23,2/10/2024 14:09,,,,,2/10/2024 14:10,davepearce@tamu.edu_tamu,2/10/2024 14:10,davepearce@tamu.edu_tamu,,0,0,0,1,0,0,,,No,1,50,0,,-98.20207,27.67074483
163,e6555aa3-3fa1-4aa9-addc-ac656069018c,45.507344,3.87,344.9052751,2,Cedar CT8X2,1.697056275,1.7,27.6758335,-98.201998,70.2,0.939999998,0.579999983,0.74000001,2,,0,22,2/10/2024 14:10,,,,,2/10/2024 14:11,davepearce@tamu.edu_tamu,2/10/2024 14:11,davepearce@tamu.edu_tamu,,2,0,0,0,1,0,,,No,9,50,0,,-98.201998,27.6758335
164,4b0d6ed1-9ae6-4d9c-8118-dd97778b8a32,47.92976,357.46,344.2813476,2,Cedar CT8X2,1.697056275,2.7,27.67925367,-98.20184883,68.5,0.949999988,0.569999993,0.709999979,2,,0,22,2/10/2024 14:11,,,,,2/10/2024 14:11,davepearce@tamu.edu_tamu,2/10/2024 14:11,davepearce@tamu.edu_tamu,,1,0,0,1,0,0,,,No,10,60,0,,-98.20184883,27.67925367
165,7fd26d7b-f8eb-4ef7-a3a1-4302369176eb,39.266104,179.46,123.9643408,2,Cedar CT8X2,1.838477631,1.7,27.68339933,-98.20461983,71.4,0.889999986,0.540000021,0.709999979,2,,0,24,2/10/2024 14:13,,,,,2/10/2024 14:14,davepearce@tamu.edu_tamu,2/10/2024 14:14,davepearce@tamu.edu_tamu,,0,0,0,0,0,1,,,No,7,60,0,,-98.20461983,27.68339933
166,d4aa06df-08ed-43e9-8182-2f217a4916e4,42.90158,178.15,157.011569,2,Cedar CT8X2,2.051828453,2.1,27.67117033,-98.204476,71.1,0.959999979,0.600000024,0.75,2,,0,22,2/10/2024 14:15,,,,,2/10/2024 14:16,davepearce@tamu.edu_tamu,2/10/2024 14:16,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,10,50,0,,-98.204476,27.67117033
167,5f93d8c4-3ba5-4c6b-82f6-337459013ef6,43.844248,186.75,163.7718034,2,Cedar CT8X2,1.780449381,2.1,27.66911017,-98.204677,71.4,0.949999988,0.560000002,0.75,2,,0,22,2/10/2024 14:16,,,,,2/10/2024 14:16,davepearce@tamu.edu_tamu,2/10/2024 14:16,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,11,45,0,,-98.204677,27.66911017
168,98e00aec-cff9-42e6-99dd-be9e06de8785,44.064636,183.41,124.2593913,2,Cedar CT8X2,1.910497317,1.9,27.67033767,-98.20446333,73.8,0.959999979,0.560000002,0.769999981,2,,0,23,2/10/2024 14:16,,,,,2/10/2024 14:17,davepearce@tamu.edu_tamu,2/10/2024 14:17,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,8,50,0,,-98.20446333,27.67033767
169,95030d18-7192-419c-b36f-0a7ce1fc202d,43.868324,183.18,160.8122005,2,Cedar CT8X2,1.780449381,2.1,27.66466133,-98.20442283,73.9,0.910000026,0.560000002,0.709999979,2,,0,23,2/10/2024 14:16,,,,,2/10/2024 14:17,davepearce@tamu.edu_tamu,2/10/2024 14:17,davepearce@tamu.edu_tamu,,1,0,0,0,1,0,,,No,12,55,0,,-98.20442283,27.66466133
170,3311ee7d-e7bc-41b0-90e2-1f858f68f78a,41.453316,179.77,163.9720645,2,Cedar CT8X2,1.703202865,1.9,27.66054433,-98.2045625,72.9,0.910000026,0.560000002,0.720000029,2,,0,23,2/10/2024 14:17,,,,,2/10/2024 14:17,davepearce@tamu.edu_tamu,2/10/2024 14:17,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,Yes,3,100,0,,-98.2045625,27.66054433
171,4ae3635e-060f-4ff4-82d5-8a484ec74dc7,41.40146,178.97,118.0404221,2,Cedar CT8X2,1.697056275,1.7,27.6597235,-98.2045535,74.6,0.920000017,0.560000002,0.74000001,2,,0,24,2/10/2024 14:17,,,,,2/10/2024 14:17,davepearce@tamu.edu_tamu,2/10/2024 14:17,davepearce@tamu.edu_tamu,,0,0,1,0,0,0,,,No,8,50,0,,-98.2045535,27.6597235
172,98ade686-3897-46c1-818e-1302b303f0db,46.28148,175.12,155.3075188,2,Cedar CT8X2,1.886796226,2.1,27.65161283,-98.20455383,74.8,0.949999988,0.620000005,0.730000019,2,,0,22,2/10/2024 14:18,,,,,2/10/2024 14:19,davepearce@tamu.edu_tamu,2/10/2024 14:19,davepearce@tamu.edu_tamu,,0,0,0,1,0,0,,,No,3,100,0,,-98.20455383,27.65161283
173,1731c75f-b642-44a5-bbc8-7cc66c5fdc96,56.971224,1.09,347.1077789,2,Cedar CT8X2,2.051828453,2.8,27.65934567,-98.20714883,76.1,1.019999981,0.610000014,0.810000002,2,,0,21,2/10/2024 14:21,,,,,2/10/2024 14:21,davepearce@tamu.edu_tamu,2/10/2024 14:21,davepearce@tamu.edu_tamu,,0,0,0,1,0,0,,,No,2,40,0,,-98.20714883,27.65934567
174,6fac757e-1d0d-4315-a2e7-ee0d31fbab16,58.85656,357.85,340.7906547,2,Cedar CT8X2,1.979898987,2.2,27.66227533,-98.20727067,78.8,0.959999979,0.560000002,0.779999971,2,,0,23,2/10/2024 14:21,,,,,2/10/2024 14:22,davepearce@tamu.edu_tamu,2/10/2024 14:22,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,7,60,0,,-98.20727067,27.66227533
175,700f1654-09bd-49af-9531-f148ee289fa6,59.536244,3.97,346.2156802,2,Cedar CT8X2,1.562049935,2.4,27.66436067,-98.20716033,80.9,1.019999981,0.610000014,0.819999993,2,,0,21,2/10/2024 14:22,,,,,2/10/2024 14:22,davepearce@tamu.edu_tamu,2/10/2024 14:22,davepearce@tamu.edu_tamu,,0,0,0,0,1,0,,,No,3,80,0,,-98.20716033,27.66436067
176,827730e1-4edc-405f-bfe2-01f4d8566ea3,57.950932,357.67,343.753584,2,Cedar CT8X2,1.838477631,2.2,27.66538117,-98.20712133,74.4,0.959999979,0.560000002,0.779999971,2,,0,23,2/10/2024 14:22,,,,,2/10/2024 14:22,davepearce@tamu.edu_tamu,2/10/2024 14:22,davepearce@tamu.edu_tamu,,0,0,0,1,0,0,,,No,7,60,0,,-98.20712133,27.66538117
177,875110e3-fd01-4da4-aff9-a45b5fe0ab5a,56.647124,358.32,333.0363171,2,Cedar CT8X2,2.051828453,2.2,27.6724475,-98.20709583,71.8,0.970000029,0.579999983,0.779999971,2,,0,23,2/10/2024 14:23,,,,,2/10/2024 14:23,davepearce@tamu.edu_tamu,2/10/2024 14:23,davepearce@tamu.edu_tamu,,0,0,0,0,1,0,,,No,3,75,0,,-98.20709583,27.6724475
178,ab1ff166-a6e7-490c-955e-6470cc010386,47.496392,1.14,344.7611308,2,Cedar CT8X2,1.910497317,3.1,27.68486683,-98.2070245,69.4,1.129999995,0.639999986,0.930000007,2,,0,20,2/10/2024 14:24,,,,,2/10/2024 14:24,davepearce@tamu.edu_tamu,2/10/2024 14:24,davepearce@tamu.edu_tamu,,2,0,0,0,1,0,,,No,1,30,0,,-98.2070245,27.68486683
179,b01ad5fd-c8ee-408c-a85e-fea58c6b1a2a,45.933304,184.5,144.0067522,2,Cedar CT8X2,2.969848481,2.5,27.68253833,-98.20970617,72.6,1.149999976,0.600000024,0.949999988,2,,0,21,2/10/2024 14:26,,,,,2/10/2024 14:26,davepearce@tamu.edu_tamu,2/10/2024 14:26,davepearce@tamu.edu_tamu,,1,0,0,0,1,0,,,No,3,100,0,,-98.20970617,27.68253833
180,5bb6f258-6d80-4cf8-a851-6e510e7d16de,47.24452,166.09,155.9633535,2,Cedar CT8X2,2.202271555,3.3,27.68344467,-98.20977067,72.7,1.080000043,0.610000014,0.879999995,2,,0,20,2/10/2024 14:25,,,,,2/10/2024 14:26,davepearce@tamu.edu_tamu,2/10/2024 14:26,davepearce@tamu.edu_tamu,,0,0,0,1,0,0,,,No,11,80,0,,-98.20977067,27.68344467
181,5c9209cb-daa0-42a1-b83b-9c8e60def110,52.77274,177.9,165.3240595,2,Cedar CT8X2,2.2627417,3.2,27.67260033,-98.20975667,73.5,1.100000024,0.610000014,0.920000017,2,,0,20,2/10/2024 14:27,,,,,2/10/2024 14:27,davepearce@tamu.edu_tamu,2/10/2024 14:27,davepearce@tamu.edu_tamu,,0,0,1,0,0,0,,,No,12,30,0,,-98.20975667,27.67260033
