Study_Area,Area_ha,Transect_ID,Transect_Length_km,Flight_Path,Latitude,Longitude,Date,Female,Fawn,Male_Young,Male_Middle,Male_Mature,Male_Unkown,Unknown,Direction_clock,Detection_Distance,Survey_Time,Survey_Season
La Copita Ranch,1096.698,4,4.99,N2S,-98.2045495,27.6509525,9/8/2023,0,0,0,1,0,0,0,10.5,25,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20170917,27.6629005,9/8/2023,1,1,0,0,0,0,0,10.5,80,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20227483,27.67015467,9/8/2023,1,1,0,0,0,0,0,12,0,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20185083,27.67489883,9/8/2023,1,0,0,0,0,0,0,9,0,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20203833,27.67747933,9/8/2023,2,1,0,1,0,0,0,9,5,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20233117,27.68740567,9/8/2023,1,1,0,0,0,0,0,9,5,Evening,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.19959033,27.684824,9/8/2023,0,1,0,0,0,0,0,11,10,Evening,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.19949067,27.67107467,9/8/2023,0,1,0,0,0,0,0,9,60,Evening,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.1971975,27.67559567,9/8/2023,0,0,0,2,0,0,0,3,10,Evening,Fall
La Copita Ranch,1096.698,12,1.25,N2S,-98.22481954,27.64683486,9/8/2023,1,0,0,0,0,0,0,9,90,Evening,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.19690167,27.66590617,9/9/2023,0,0,0,1,0,0,0,1,15,Morning,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.19710217,27.67117783,9/9/2023,1,1,0,0,0,0,0,3,10,Morning,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.19704283,27.68264383,9/9/2023,2,1,0,0,0,0,0,3,15,Morning,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.19714667,27.68627017,9/9/2023,2,1,0,0,0,0,0,2,25,Morning,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.199555,27.689196,9/9/2023,0,0,0,1,0,0,0,12,0,Morning,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.1995505,27.67504517,9/9/2023,1,0,0,0,0,0,0,2,45,Morning,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20206367,27.65689117,9/9/2023,0,0,1,0,0,0,0,12,0,Morning,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20202583,27.675102,9/9/2023,0,0,0,1,0,0,0,3,80,Morning,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.20466583,27.679252,9/9/2023,2,1,0,0,0,0,0,10,1,Morning,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.20461683,27.6624175,9/9/2023,1,0,0,0,0,0,0,2,75,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20704983,27.659449,9/9/2023,1,1,0,0,0,0,0,3,60,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20706467,27.66262517,9/9/2023,2,0,0,0,0,0,0,3,50,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20696567,27.67740583,9/9/2023,0,1,0,0,0,0,0,12.5,15,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20710833,27.68729367,9/9/2023,1,0,0,0,0,0,0,2,80,Morning,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.2098065,27.653667,9/9/2023,2,0,0,0,0,0,0,2,75,Morning,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.20973383,27.64876583,9/9/2023,2,1,0,0,0,0,0,1,10,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.2122525,27.653082,9/9/2023,0,0,0,0,1,0,0,3,30,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21223683,27.66916283,9/9/2023,2,2,0,0,0,0,0,3,20,Morning,Fall
La Copita Ranch,1096.698,10,1.25,N2S,-98.2199715,27.654062,9/9/2023,1,1,0,0,0,0,0,2,15,Morning,Fall
La Copita Ranch,1096.698,11,1.25,S2N,-98.222251,27.65429033,9/9/2023,1,0,0,0,0,0,0,12,0,Morning,Fall
La Copita Ranch,1096.698,12,1.25,N2S,-98.22503183,27.64763267,9/9/2023,0,0,1,0,0,0,0,12,5,Morning,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.19963717,27.68629233,9/9/2023,0,0,0,0,0,0,1,11,50,Morning,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.19962067,27.6609085,9/9/2023,5,2,0,0,0,0,0,1,25,Morning,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20206,27.67136183,9/9/2023,3,0,0,0,0,0,0,11,50,Morning,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20223683,27.68168767,9/9/2023,2,0,2,0,0,0,0,11,30,Morning,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20215417,27.68772283,9/9/2023,0,0,0,0,0,0,1,9,50,Morning,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.204814,27.68540483,9/9/2023,2,0,0,1,0,0,0,9,50,Morning,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.20467617,27.67910217,9/9/2023,2,0,0,0,0,0,0,9,10,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20713333,27.66881533,9/9/2023,3,0,0,0,0,0,0,11,100,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20706983,27.6819355,9/9/2023,0,0,0,1,0,0,0,9,20,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20710633,27.68684383,9/9/2023,1,1,0,0,0,0,0,12,15,Morning,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.20972783,27.678129,9/9/2023,1,0,0,0,0,0,0,10,30,Morning,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.20973733,27.64742717,9/9/2023,0,0,0,1,0,0,0,12,15,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21222067,27.66080867,9/9/2023,0,0,0,1,0,0,0,9,10,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.212294,27.66387917,9/9/2023,1,1,0,0,0,0,0,12,10,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21226883,27.6676275,9/9/2023,6,0,0,0,0,0,0,11,60,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21224433,27.66964133,9/9/2023,1,1,0,0,0,0,0,12.5,20,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.212134,27.672542,9/9/2023,2,0,0,0,0,0,0,9,50,Morning,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.21458617,27.6883295,9/9/2023,1,0,0,0,0,0,0,12.5,20,Morning,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.21484533,27.67195533,9/9/2023,3,2,0,1,0,0,0,11.5,20,Morning,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.214742,27.6576685,9/9/2023,1,0,0,0,0,0,0,10,40,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20748415,27.65723159,2/9/2024,0,0,0,1,0,0,0,9,60,Evening,Winter
La Copita Ranch,1096.698,1,2.94,S2N,-98.19743,27.66534,2/9/2024,2,0,0,0,0,0,0,8,70,Evening,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19961367,27.67954017,2/9/2024,1,0,0,0,0,0,0,8,70,Evening,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19957317,27.67858683,2/9/2024,1,0,0,0,0,0,0,4,100,Evening,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19928283,27.672262,2/9/2024,1,0,0,0,0,0,0,11,50,Evening,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.199423,27.667068,2/9/2024,1,0,0,0,0,0,0,3,50,Evening,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19933683,27.66603467,2/9/2024,2,0,0,0,0,0,0,10,60,Evening,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.199341,27.66401617,2/9/2024,3,0,0,0,0,0,1,9,15,Evening,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19968467,27.65732117,2/9/2024,0,0,0,0,0,0,1,3,60,Evening,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19966983,27.65827733,2/9/2024,0,0,1,0,0,0,0,3,40,Evening,Winter
La Copita Ranch,1096.698,3,4.99,S2N,-98.20141333,27.6598595,2/9/2024,0,0,0,1,0,0,0,2,10,Evening,Winter
La Copita Ranch,1096.698,3,4.99,S2N,-98.20186383,27.66430833,2/9/2024,2,0,0,0,0,0,0,8,60,Evening,Winter
La Copita Ranch,1096.698,3,4.99,S2N,-98.20247417,27.6903185,2/9/2024,1,1,0,0,0,0,0,4,60,Evening,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.204918,27.682567,2/9/2024,2,1,0,0,0,0,0,10,0,Evening,Winter
La Copita Ranch,1096.698,5,4.68,S2N,-98.20703817,27.66709417,2/9/2024,2,0,0,0,0,0,0,2,10,Evening,Winter
La Copita Ranch,1096.698,5,4.68,S2N,-98.2072405,27.67036117,2/9/2024,1,0,0,0,0,0,0,1,20,Evening,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20967517,27.678316,2/9/2024,0,0,2,0,0,0,0,9,20,Evening,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.2100755,27.67043083,2/9/2024,1,0,0,0,0,0,0,2,80,Evening,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20961083,27.66549933,2/9/2024,3,1,0,0,0,0,0,12,15,Evening,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20950117,27.65653217,2/9/2024,3,0,0,0,0,0,0,1,10,Evening,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.209626,27.65170283,2/9/2024,0,0,1,0,0,0,0,1,10,Evening,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20956267,27.64721533,2/9/2024,2,0,0,0,0,0,0,12,0,Evening,Winter
La Copita Ranch,1096.698,7,4.79,S2N,-98.21209717,27.67104033,2/9/2024,4,0,0,0,0,0,0,12,15,Evening,Winter
La Copita Ranch,1096.698,7,4.79,S2N,-98.21180717,27.6750045,2/9/2024,2,0,0,0,0,0,0,2,80,Evening,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.21490583,27.68582633,2/9/2024,4,0,0,0,0,0,0,12,80,Evening,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.21491067,27.6814965,2/9/2024,3,0,0,0,0,0,0,2,40,Evening,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.214845,27.665247,2/9/2024,1,0,0,0,0,0,0,12,15,Evening,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.2147525,27.65831283,2/9/2024,4,0,0,0,0,0,0,2,40,Evening,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.214653,27.654645,2/9/2024,0,0,0,1,0,0,0,2,10,Evening,Winter
La Copita Ranch,1096.698,9,1.25,S2N,-98.21747267,27.647714,2/9/2024,2,0,0,0,0,0,0,10,80,Evening,Winter
La Copita Ranch,1096.698,9,1.25,S2N,-98.21697217,27.6500565,2/9/2024,3,0,1,0,0,0,0,3,50,Evening,Winter
La Copita Ranch,1096.698,1,2.94,S2N,-98.1969885,27.665426,2/10/2024,0,1,0,0,0,0,0,2,30,Morning,Winter
La Copita Ranch,1096.698,1,2.94,S2N,-98.196909,27.66780917,2/10/2024,1,0,0,0,0,0,0,6,0,Morning,Winter
La Copita Ranch,1096.698,1,2.94,S2N,-98.19704133,27.67024,2/10/2024,1,0,0,0,0,0,0,10,60,Morning,Winter
La Copita Ranch,1096.698,1,2.94,S2N,-98.19701533,27.68982417,2/10/2024,0,2,0,0,0,0,0,2,15,Morning,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19950083,27.6869455,2/10/2024,0,0,1,0,0,0,0,11,50,Morning,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19947983,27.68499217,2/10/2024,0,0,0,0,0,0,1,9,60,Morning,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19950717,27.67164817,2/10/2024,0,0,1,0,0,0,0,2,30,Morning,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19939867,27.6667425,2/10/2024,0,0,1,0,0,0,0,10,9,Morning,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.199522,27.64920783,2/10/2024,1,1,0,0,0,0,0,12,10,Morning,Winter
La Copita Ranch,1096.698,2,4.99,N2S,-98.19941983,27.64656983,2/10/2024,1,0,0,0,0,0,0,9,10,Morning,Winter
La Copita Ranch,1096.698,3,4.99,S2N,-98.20212017,27.66162383,2/10/2024,4,2,0,0,0,0,0,12,60,Morning,Winter
La Copita Ranch,1096.698,3,4.99,S2N,-98.20207,27.67074483,2/10/2024,0,0,1,0,0,0,0,1,50,Morning,Winter
La Copita Ranch,1096.698,3,4.99,S2N,-98.201998,27.6758335,2/10/2024,2,1,0,0,0,0,0,9,50,Morning,Winter
La Copita Ranch,1096.698,3,4.99,S2N,-98.20184883,27.67925367,2/10/2024,1,0,1,0,0,0,0,10,60,Morning,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.20461983,27.68339933,2/10/2024,0,0,0,0,0,0,1,7,60,Morning,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.204476,27.67117033,2/10/2024,1,0,0,0,0,0,0,10,50,Morning,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.204677,27.66911017,2/10/2024,1,0,0,0,0,0,0,11,45,Morning,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.20446333,27.67033767,2/10/2024,1,0,0,0,0,0,0,8,50,Morning,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.20442283,27.66466133,2/10/2024,1,1,0,0,0,0,0,12,55,Morning,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.2045625,27.66054433,2/10/2024,1,0,0,0,0,0,0,3,100,Morning,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.2045535,27.6597235,2/10/2024,0,0,0,1,0,0,0,8,50,Morning,Winter
La Copita Ranch,1096.698,4,4.99,N2S,-98.20455383,27.65161283,2/10/2024,0,0,1,0,0,0,0,3,100,Morning,Winter
La Copita Ranch,1096.698,5,4.68,S2N,-98.20714883,27.65934567,2/10/2024,0,0,1,0,0,0,0,2,40,Morning,Winter
La Copita Ranch,1096.698,5,4.68,S2N,-98.20727067,27.66227533,2/10/2024,1,0,0,0,0,0,0,7,60,Morning,Winter
La Copita Ranch,1096.698,5,4.68,S2N,-98.20716033,27.66436067,2/10/2024,0,1,0,0,0,0,0,3,80,Morning,Winter
La Copita Ranch,1096.698,5,4.68,S2N,-98.20712133,27.66538117,2/10/2024,0,0,1,0,0,0,0,7,60,Morning,Winter
La Copita Ranch,1096.698,5,4.68,S2N,-98.20709583,27.6724475,2/10/2024,0,1,0,0,0,0,0,3,75,Morning,Winter
La Copita Ranch,1096.698,5,4.68,S2N,-98.2070245,27.68486683,2/10/2024,2,1,0,0,0,0,0,1,30,Morning,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20970617,27.68253833,2/10/2024,1,1,0,0,0,0,0,3,100,Morning,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20977067,27.68344467,2/10/2024,0,0,1,0,0,0,0,11,80,Morning,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20975667,27.67260033,2/10/2024,0,0,0,1,0,0,0,12,30,Morning,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.209866,27.670631,2/10/2024,1,1,0,1,0,0,0,3,60,Morning,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20978167,27.66864167,2/10/2024,1,0,0,0,0,0,0,1,50,Morning,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.20973817,27.666432,2/10/2024,2,0,0,0,0,0,0,7,60,Morning,Winter
La Copita Ranch,1096.698,6,4.74,N2S,-98.2095755,27.657882,2/10/2024,2,1,0,0,0,0,0,8,50,Morning,Winter
La Copita Ranch,1096.698,7,4.79,S2N,-98.2121645,27.6603755,2/10/2024,0,0,0,0,1,0,0,12,5,Morning,Winter
La Copita Ranch,1096.698,7,4.79,S2N,-98.21211883,27.670686,2/10/2024,1,0,0,0,0,0,0,12,30,Morning,Winter
La Copita Ranch,1096.698,7,4.79,S2N,-98.21213433,27.671671,2/10/2024,2,0,0,0,0,0,0,8,100,Morning,Winter
La Copita Ranch,1096.698,7,4.79,S2N,-98.21210917,27.67634467,2/10/2024,0,0,0,1,0,0,0,2,40,Morning,Winter
La Copita Ranch,1096.698,7,4.79,S2N,-98.21213667,27.67752583,2/10/2024,1,1,0,0,0,0,0,2,100,Morning,Winter
La Copita Ranch,1096.698,7,4.79,S2N,-98.21210033,27.68658167,2/10/2024,1,2,0,0,0,0,0,11,30,Morning,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.21473667,27.6827515,2/10/2024,1,1,0,0,0,0,0,11,40,Morning,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.214858,27.6798895,2/10/2024,0,0,0,0,0,0,1,9,100,Morning,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.214756,27.672911,2/10/2024,4,0,0,0,0,0,0,1,70,Morning,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.2148335,27.66982033,2/10/2024,1,0,1,0,0,0,0,3,100,Morning,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.214756,27.665026,2/10/2024,4,0,0,0,0,0,0,1,60,Morning,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.2147285,27.658708,2/10/2024,1,0,0,0,0,0,0,3,100,Morning,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.214783,27.66254117,2/10/2024,0,0,0,1,0,0,0,2,40,Morning,Winter
La Copita Ranch,1096.698,9,1.25,S2N,-98.21727583,27.6456765,2/10/2024,1,0,0,0,0,0,0,9,60,Morning,Winter
La Copita Ranch,1096.698,11,1.25,S2N,-98.222379,27.655962,2/10/2024,2,0,0,0,0,0,0,6,0,Morning,Winter
La Copita Ranch,1096.698,12,1.25,N2S,-98.22505083,27.64572767,2/10/2024,2,0,0,0,0,0,0,12,0,Morning,Winter
La Copita Ranch,1096.698,8,4.84,N2S,-98.21486683,27.6569645,9/6/2024,0,0,0,1,0,0,0,1,5,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21161517,27.64759,9/6/2024,1,0,0,0,0,0,0,3,10,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21230017,27.650603,9/6/2024,0,0,0,0,0,0,1,4,20,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21194133,27.662838,9/6/2024,1,0,0,0,0,0,0,2,30,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.212313,27.66980283,9/6/2024,1,1,0,0,0,0,0,12,10,Evening,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.2097775,27.66109383,9/6/2024,1,0,0,0,0,0,0,3,20,Evening,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.204342,27.65851683,9/6/2024,1,0,0,0,0,0,0,2,10,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.202056,27.64834033,9/6/2024,1,1,0,0,0,0,0,1,5,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20196583,27.66051317,9/6/2024,0,0,0,0,1,0,0,5,40,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20202733,27.68307983,9/6/2024,1,0,0,0,0,0,0,4,20,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20209067,27.68844283,9/6/2024,0,0,0,0,1,0,0,6,0,Evening,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.19962417,27.66551417,9/6/2024,0,0,0,0,2,0,0,2,30,Evening,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.199664,27.65068617,9/6/2024,0,0,1,0,0,0,0,1,30,Evening,Fall
La Copita Ranch,1096.698,12,1.25,N2S,-98.2250825,27.65450367,9/6/2024,1,0,0,0,0,0,0,1,85,Evening,Fall
La Copita Ranch,1096.698,12,1.25,N2S,-98.22489817,27.64783067,9/6/2024,1,0,0,0,0,0,0,12,0,Evening,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.21478633,27.6673565,9/6/2024,3,0,0,0,0,0,0,9,10,Evening,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.21487083,27.65666067,9/6/2024,1,0,0,0,0,0,0,10,20,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.2122685,27.66798383,9/6/2024,0,0,0,0,1,0,0,8,30,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.211851,27.672463,9/6/2024,0,0,0,0,1,0,0,12,20,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.211926,27.67660333,9/6/2024,1,0,0,0,0,0,0,8,50,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21171933,27.68777383,9/6/2024,1,0,0,0,0,0,0,11,60,Evening,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.20960683,27.67031467,9/6/2024,1,0,0,0,0,0,0,5,50,Evening,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.204582,27.673336,9/6/2024,0,0,0,0,1,0,0,6,90,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20186183,27.65382267,9/6/2024,0,0,0,0,1,0,0,8,40,Evening,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.197274,27.6815325,9/7/2024,1,1,0,0,0,0,0,2,25,Morning,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.19967667,27.68806783,9/7/2024,1,0,0,0,0,0,0,5,20,Morning,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.1996005,27.6710785,9/7/2024,2,0,0,0,0,0,0,8,50,Morning,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.201982,27.67401167,9/7/2024,0,0,1,0,0,0,0,2,50,Morning,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.2047795,27.68316067,9/7/2024,0,0,0,2,0,0,0,3,0,Morning,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.20460517,27.67597517,9/7/2024,1,0,0,0,0,0,0,9,90,Morning,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.2069995,27.677459,9/7/2024,2,0,1,0,0,0,0,1,10,Morning,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.20987567,27.6676685,9/7/2024,2,0,0,0,0,0,0,5,100,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.212361,27.66889467,9/7/2024,1,0,0,0,0,0,0,3,50,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21196567,27.6732635,9/7/2024,1,0,0,0,0,0,0,4,50,Morning,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.2123405,27.68389833,9/7/2024,0,0,1,0,0,0,0,9,100,Morning,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.21454233,27.68590167,9/7/2024,0,0,0,0,1,0,0,3,70,Morning,Fall
